FECHA,HORA,BJU
01/01/2018,1,78
01/01/2018,2,73
01/01/2018,3,82
01/01/2018,4,87
01/01/2018,5,69
01/01/2018,6,62
01/01/2018,7,55
01/01/2018,8,52
01/01/2018,9,54
01/01/2018,10,67
01/01/2018,11,77
01/01/2018,12,80
01/01/2018,13,77
01/01/2018,14,86
01/01/2018,15,71
01/01/2018,16,70
01/01/2018,17,56
01/01/2018,18,41
01/01/2018,19,47
01/01/2018,20,63
01/01/2018,21,59
01/01/2018,22,29
01/01/2018,23,20
01/01/2018,24,14
02/01/2018,1,20
02/01/2018,2,19
02/01/2018,3,17
02/01/2018,4,18
02/01/2018,5,18
02/01/2018,6,25
02/01/2018,7,29
02/01/2018,8,33
02/01/2018,9,57
02/01/2018,10,61
02/01/2018,11,57
02/01/2018,12,79
02/01/2018,13,71
02/01/2018,14,50
02/01/2018,15,51
02/01/2018,16,30
02/01/2018,17,43
02/01/2018,18,69
02/01/2018,19,64
02/01/2018,20,64
02/01/2018,21,65
02/01/2018,22,79
02/01/2018,23,67
02/01/2018,24,61
03/01/2018,1,67
03/01/2018,2,62
03/01/2018,3,48
03/01/2018,4,49
03/01/2018,5,60
03/01/2018,6,53
03/01/2018,7,62
03/01/2018,8,64
03/01/2018,9,79
03/01/2018,10,93
03/01/2018,11,86
03/01/2018,12,62
03/01/2018,13,58
03/01/2018,14,57
03/01/2018,15,56
03/01/2018,16,68
03/01/2018,17,65
03/01/2018,18,66
03/01/2018,19,84
03/01/2018,20,65
03/01/2018,21,64
03/01/2018,22,64
03/01/2018,23,61
03/01/2018,24,55
04/01/2018,1,53
04/01/2018,2,60
04/01/2018,3,71
04/01/2018,4,66
04/01/2018,5,62
04/01/2018,6,64
04/01/2018,7,61
04/01/2018,8,73
04/01/2018,9,91
04/01/2018,10,95
04/01/2018,11,105
04/01/2018,12,98
04/01/2018,13,76
04/01/2018,14,67
04/01/2018,15,79
04/01/2018,16,86
04/01/2018,17,98
04/01/2018,18,99
04/01/2018,19,114
04/01/2018,20,86
04/01/2018,21,80
04/01/2018,22,87
04/01/2018,23,76
04/01/2018,24,83
05/01/2018,1,78
05/01/2018,2,75
05/01/2018,3,75
05/01/2018,4,75
05/01/2018,5,71
05/01/2018,6,73
05/01/2018,7,79
05/01/2018,8,88
05/01/2018,9,97
05/01/2018,10,107
05/01/2018,11,88
05/01/2018,12,64
05/01/2018,13,62
05/01/2018,14,66
05/01/2018,15,57
05/01/2018,16,66
05/01/2018,17,89
05/01/2018,18,85
05/01/2018,19,87
05/01/2018,20,88
05/01/2018,21,83
05/01/2018,22,72
05/01/2018,23,64
05/01/2018,24,56
06/01/2018,1,47
06/01/2018,2,52
06/01/2018,3,48
06/01/2018,4,46
06/01/2018,5,48
06/01/2018,6,74
06/01/2018,7,65
06/01/2018,8,71
06/01/2018,9,72
06/01/2018,10,86
06/01/2018,11,104
06/01/2018,12,85
06/01/2018,13,61
06/01/2018,14,79
06/01/2018,15,65
06/01/2018,16,53
06/01/2018,17,52
06/01/2018,18,57
06/01/2018,19,49
06/01/2018,20,46
06/01/2018,21,49
06/01/2018,22,33
06/01/2018,23,36
06/01/2018,24,33
07/01/2018,1,32
07/01/2018,2,30
07/01/2018,3,23
07/01/2018,4,39
07/01/2018,5,42
07/01/2018,6,35
07/01/2018,7,29
07/01/2018,8,37
07/01/2018,9,45
07/01/2018,10,59
07/01/2018,11,68
07/01/2018,12,65
07/01/2018,13,47
07/01/2018,14,30
07/01/2018,15,33
07/01/2018,16,30
07/01/2018,17,40
07/01/2018,18,47
07/01/2018,19,75
07/01/2018,20,83
07/01/2018,21,71
07/01/2018,22,70
07/01/2018,23,76
07/01/2018,24,77
08/01/2018,1,76
08/01/2018,2,68
08/01/2018,3,48
08/01/2018,4,42
08/01/2018,5,47
08/01/2018,6,47
08/01/2018,7,59
08/01/2018,8,73
08/01/2018,9,114
08/01/2018,10,132
08/01/2018,11,93
08/01/2018,12,60
08/01/2018,13,55
08/01/2018,14,54
08/01/2018,15,49
08/01/2018,16,49
08/01/2018,17,46
08/01/2018,18,42
08/01/2018,19,42
08/01/2018,20,45
08/01/2018,21,56
08/01/2018,22,55
08/01/2018,23,45
08/01/2018,24,45
09/01/2018,1,40
09/01/2018,2,37
09/01/2018,3,46
09/01/2018,4,47
09/01/2018,5,47
09/01/2018,6,47
09/01/2018,7,52
09/01/2018,8,64
09/01/2018,9,69
09/01/2018,10,79
09/01/2018,11,82
09/01/2018,12,84
09/01/2018,13,73
09/01/2018,14,55
09/01/2018,15,58
09/01/2018,16,61
09/01/2018,17,57
09/01/2018,18,51
09/01/2018,19,75
09/01/2018,20,77
09/01/2018,21,69
09/01/2018,22,67
09/01/2018,23,74
09/01/2018,24,70
10/01/2018,1,68
10/01/2018,2,101
10/01/2018,3,92
10/01/2018,4,88
10/01/2018,5,72
10/01/2018,6,73
10/01/2018,7,78
10/01/2018,8,86
10/01/2018,9,81
10/01/2018,10,82
10/01/2018,11,63
10/01/2018,12,66
10/01/2018,13,54
10/01/2018,14,59
